,qjd_close,gm_close
0,4.207,15.407
1,3.684,13.998
2,3.832,14.461
3,3.921,14.471
4,3.714,13.988
5,3.654,13.506
6,3.556,12.522
7,3.536,12.638
8,3.388,11.355
9,3.476,11.866
10,3.269,11.22
11,3.318,11.538
12,3.427,11.76
13,3.318,11.442
14,3.328,11.422
15,3.338,11.509
16,3.309,11.384
17,3.012,10.728
18,2.874,10.38
19,2.815,10.187
20,2.914,10.419
21,2.894,10.091
22,2.943,10.139
23,2.993,10.303
24,3.032,10.419
25,2.904,9.917
26,2.953,10.294
27,3.052,10.612
28,3.121,10.805
29,3.16,10.728
30,3.2,10.969
31,3.22,11.036
32,3.22,11.094
33,3.259,11.075
34,3.012,10.361
35,3.012,9.869
36,2.894,10.043
37,2.963,10.429
38,3.101,10.747
39,3.131,10.515
40,3.2,11.075
41,3.18,10.708
42,3.081,10.786
43,3.062,10.409
44,3.062,10.496
45,3.141,10.583
46,3.21,10.679
47,3.259,10.892
48,3.289,10.959
49,3.358,11.316
50,3.388,11.287
51,3.595,11.384
52,3.486,11.364
53,3.546,11.114
54,3.467,11.509
55,3.556,11.239
56,3.506,11.133
57,3.447,11.422
58,3.496,11.461
59,3.457,11.393
60,3.457,11.673
61,3.556,11.673
62,3.565,11.422
63,3.486,11.316
64,3.546,11.432
65,3.674,11.442
66,3.654,11.528
67,3.684,11.548
68,3.773,11.635
69,3.783,11.528
70,3.793,11.374
71,3.783,10.786
72,3.654,10.612
73,3.506,10.882
74,3.447,10.901
75,3.417,10.882
76,3.407,10.776
77,3.378,10.795
78,3.279,11.335
79,3.328,12.136
80,3.368,12.127
81,3.358,12.406
82,3.348,11.856
83,3.289,12.156
84,3.259,12.802
85,3.259,12.464
86,3.22,12.676
87,3.239,12.078
88,3.318,12.204
89,3.279,11.963
90,3.18,12.078
91,3.101,11.866
92,3.072,12.04
93,3.081,12.223
94,3.101,11.808
95,3.072,11.528
96,3.081,11.384
97,3.081,11.345
98,3.072,11.239
99,3.081,11.76
100,3.151,11.654
101,3.151,11.779
102,3.151,12.387
103,3.141,12.291
104,3.121,12.271
105,3.121,11.866
106,3.091,11.586
107,2.993,11.451
108,2.993,11.914
109,3.052,11.934
110,3.022,12.455
111,3.022,12.329
112,3.022,11.847
113,3.012,12.001
114,3.022,11.866
115,3.012,11.779
116,2.963,12.01
117,2.983,12.215
118,3.022,12.303
119,3.042,12.342
120,3.022,12.234
121,3.022,12.634
122,3.072,12.663
123,3.141,13.062
124,3.111,13.189
125,3.111,13.16
126,3.091,13.598
127,3.101,14.095
128,3.151,13.988
129,3.151,13.666
130,3.16,13.54
131,3.16,13.394
132,3.16,13.403
133,3.141,13.403
134,3.151,13.471
135,3.151,13.179
136,3.111,13.345
137,3.121,13.812
138,3.141,13.569
139,3.062,14.221
140,3.062,14.114
141,3.052,13.618
142,3.042,13.978
143,3.062,14.027
144,3.062,13.929
145,3.052,14.319
146,3.052,14.611
147,3.091,14.709
148,3.131,14.358
149,3.111,14.221
150,3.141,14.455
151,3.16,14.611
152,3.2,14.319
153,3.2,14.416
154,3.21,14.601
155,3.19,15.585
156,3.2,14.66
157,3.19,14.777
158,3.21,14.426
159,3.18,14.407
160,3.16,14.309
161,3.16,13.881
162,3.2,13.822
163,3.19,13.949
164,3.2,13.91
165,3.151,13.968
166,3.16,13.842
167,3.19,13.958
168,3.22,13.871
169,3.299,13.715
170,3.289,13.345
171,3.239,13.394
172,3.23,13.345
173,3.19,13.608
174,3.17,13.695
175,3.22,13.618
176,3.21,13.734
177,3.23,13.881
178,3.21,13.929
179,3.17,13.491
180,3.111,13.725
181,3.151,13.598
182,3.131,13.627
183,3.121,13.705
184,3.151,13.842
185,3.17,13.881
186,3.2,13.929
187,3.19,13.832
188,3.21,13.832
189,3.2,13.686
190,3.18,13.637
191,3.259,13.569
192,3.23,13.559
193,3.22,13.618
194,3.269,13.588
195,3.318,13.598
196,3.299,13.734
197,3.269,13.832
198,3.259,13.822
199,3.21,14.085
200,3.22,14.075
201,3.23,13.881
202,3.2,13.929
203,3.23,13.812
204,3.22,13.705
205,3.22,13.725
206,3.249,13.715
207,3.239,13.744
208,3.299,13.744
209,3.358,13.657
210,3.476,13.725
211,3.457,13.695
212,3.437,13.666
213,3.467,13.559
214,3.417,13.657
215,3.496,13.783
216,3.496,13.734
217,3.536,13.89
218,3.536,13.842
219,3.565,13.812
220,3.358,14.027
221,3.457,13.734
222,3.427,13.647
223,3.417,13.442
224,3.397,13.53
225,3.388,13.462
226,3.318,13.569
227,3.328,13.403
228,3.368,13.316
229,3.309,12.653
230,3.328,12.575
231,3.388,12.497
232,3.338,12.419
233,3.348,12.673
234,3.348,12.643
235,3.348,12.566
236,3.348,12.614
237,3.348,12.702
238,3.348,12.575
239,3.348,12.566
240,3.348,12.663
241,3.348,12.595
242,3.348,12.595
