,s1_open,s2_open
0,6.222,6.917
1,6.103,6.842
2,6.01,6.849
3,6.208,7.037
4,6.005,6.968
5,6.034,6.925
6,5.829,6.635
7,5.791,6.443
8,5.791,6.41
9,5.827,6.579
10,5.946,6.688
11,6.124,6.868
12,6.017,6.729
13,5.794,6.391
14,5.625,6.071
15,5.399,5.77
16,5.456,5.658
17,5.244,5.808
18,5.156,5.827
19,5.211,5.639
20,5.254,5.641
21,5.211,5.859
22,5.28,5.692
23,5.454,5.658
24,5.304,5.637
25,5.197,5.714
26,5.28,5.752
27,5.418,5.833
28,5.418,5.972
29,5.454,5.891
30,5.539,5.827
31,5.473,5.987
32,5.366,6.109
33,5.475,6.146
34,5.589,6.184
35,5.537,6.184
36,5.625,6.165
37,5.577,5.979
38,5.62,5.936
39,5.487,5.977
40,5.437,6.069
41,5.549,5.958
42,5.57,5.938
43,5.523,5.844
44,5.496,5.714
45,5.363,5.686
46,5.221,5.927
47,5.256,5.833
48,5.37,5.921
49,5.33,6.058
50,5.387,6.017
51,5.494,6.032
52,5.444,5.99
53,5.423,6.203
54,5.325,6.317
55,5.458,6.374
56,5.599,6.372
57,5.637,6.447
58,5.625,6.71
59,5.696,6.693
60,5.975,6.633
61,6.017,6.466
62,5.908,6.577
63,5.708,6.269
64,5.827,6.387
65,5.632,6.425
66,5.768,6.255
67,5.722,6.158
68,5.741,5.737
69,5.518,5.733
70,5.185,5.78
71,5.104,5.71
72,5.154,5.795
73,5.114,5.648
74,5.059,5.331
75,5.03,5.432
76,4.728,5.338
77,4.84,5.148
78,4.769,5.139
79,4.716,5.15
80,4.602,4.695
81,4.576,4.643
82,4.115,4.945
83,4.115,4.793
84,4.376,4.874
85,4.138,5.254
86,4.234,5.154
87,4.376,4.91
88,4.253,5.224
89,4.05,5.122
90,4.224,5.526
91,4.303,5.543
92,4.379,5.349
93,4.733,5.363
94,4.674,5.485
95,4.562,5.265
96,4.685,5.009
97,4.514,4.9
98,4.293,5.19
99,4.245,4.99
100,4.407,4.962
101,4.253,4.943
102,4.193,5.09
103,4.234,5.265
104,4.341,5.428
105,4.431,5.432
106,4.443,5.372
107,4.429,5.24
108,4.434,5.498
109,4.222,5.4
110,4.422,5.412
111,4.431,5.44
112,4.359,5.302
113,4.359,5.069
114,4.275,5.185
115,4.212,5.075
116,3.959,5.1
117,3.923,5.231
118,3.826,5.528
119,3.853,5.528
120,4.014,5.443
121,4.542,5.645
122,4.542,5.707
123,4.542,5.667
124,4.75,5.809
125,4.819,5.698
126,4.909,5.724
127,4.786,6.047
128,4.75,6.124
129,4.911,6.149
130,5.28,6.248
131,5.323,6.274
132,5.545,6.234
133,5.456,6.163
134,5.425,6.436
135,5.473,6.436
136,5.557,6.521
137,5.586,6.62
138,5.48,6.436
139,5.531,6.433
140,5.355,6.433
141,5.413,6.665
142,5.376,6.694
143,5.661,6.393
144,5.608,6.305
145,5.379,6.271
146,5.347,6.376
147,5.413,6.716
148,5.562,7.082
149,5.685,7.093
150,5.847,7.181
151,5.796,7.425
152,5.955,7.368
153,6.076,7.354
154,6.001,7.144
155,5.904,7.201
156,5.844,7.422
157,6.014,7.442
158,5.953,7.777
159,5.977,7.825
160,6.76,7.952
161,6.857,7.972
162,6.93,7.918
163,6.997,7.796
164,6.857,7.961
165,6.948,7.595
166,6.712,7.513
167,6.59,7.779
168,6.736,7.927
169,6.639,7.683
170,6.487,7.584
171,6.305,7.487
172,6.299,7.49
173,6.256,7.706
174,6.536,8.148
175,6.663,8.08
176,6.438,8.31
177,6.311,8.471
178,6.554,8.562
179,6.59,9.146
180,7.003,9.129
181,7.555,8.987
182,7.585,9.951
183,7.294,10.093
184,7.84,10.716
185,7.992,11.777
186,8.429,11.705
187,9.333,13.145
188,9.181,12.726
189,9.527,12.368
190,9.515,12.547
191,9.108,12.362
192,9.108,12.667
193,8.969,13.407
194,9.151,14.567
195,9.406,14.513
196,9.643,14.596
197,9.284,14.429
198,9.394,13.981
199,9.303,13.784
200,9.218,13.306
201,9.193,13.515
202,9.06,12.696
203,9.212,13.21
204,8.496,12.326
205,8.629,11.92
206,7.767,12.135
207,7.531,12.529
208,7.767,12.535
209,8.034,13.378
210,8.235,13.091
211,7.767,13.192
212,8.92,13.366
213,8.793,12.876
214,8.623,12.918
215,9.005,12.774
216,8.708,12.631
217,8.823,12.595
218,8.696,12.69
219,8.641,12.846
220,8.55,12.708
221,8.605,12.888
222,8.92,13.36
223,8.86,13.623
224,9.102,13.342
225,9.345,13.24
226,9.345,13.264
227,9.181,12.918
228,9.042,12.989
229,9.017,12.786
230,8.738,12.619
231,8.86,12.607
232,8.744,12.577
233,8.611,12.308
234,8.587,12.493
235,8.581,12.696
236,8.259,13.037
237,8.314,12.965
238,8.405,13.085
239,8.599,12.846
240,8.617,12.696
241,8.92,12.487
242,8.696,12.607
243,8.605,12.547
244,8.417,12.463
245,8.435,12.165
246,8.392,11.472
247,8.368,11.328
248,8.162,11.711
249,7.773,11.412
250,7.767,11.591
251,8.065,11.4
252,7.664,11.484
253,7.84,11.723
254,7.749,12.248
255,7.786,12.965
256,7.907,13.348
257,8.095,12.923
258,8.368,13.139
259,8.423,13.324
260,8.21,13.921
261,8.053,14.035
262,8.192,13.838
263,8.392,14.453
264,8.696,14.322
265,8.55,13.742
266,9.121,14.262
267,9.078,13.742
268,8.738,13.658
269,9.078,13.652
270,8.757,13.933
271,8.708,15.05
272,8.714,15.056
273,8.805,15.702
274,9.224,15.481
275,9.042,15.869
276,9.2,15.839
277,8.999,15.797
278,9.127,15.875
279,9.321,15.355
280,9.412,15.236
281,9.588,15.493
282,9.388,15.152
283,9.315,15.164
284,9.382,15.785
285,9.115,16.61
286,9.011,16.819
287,9.011,16.706
288,9.139,16.891
289,9.193,16.646
290,9.133,16.7
291,9.339,16.717
292,9.248,16.108
293,9.442,16.58
294,9.649,16.795
295,9.375,16.843
296,9.485,16.831
297,9.363,17.339
298,9.588,17.207
299,9.922,17.076
300,10.377,17.225
301,10.352,16.879
302,10.286,16.819
303,10.164,16.616
304,10.274,15.941
305,10.061,15.714
306,10.013,16.846
307,9.861,17.071
308,9.891,16.64
309,9.831,16.334
310,10.013,16.442
311,9.885,16.19
312,9.527,16.487
313,9.375,16.532
314,9.436,16.136
315,9.042,15.678
316,9.333,15.777
317,9.357,16.109
318,9.151,16.1
319,8.799,15.903
320,8.811,15.633
321,8.92,15.732
322,8.92,15.382
323,8.848,15.588
324,8.629,15.624
325,8.738,15.49
326,8.574,15.427
327,8.726,14.888
328,8.914,14.762
329,8.775,14.726
330,8.672,14.501
331,8.295,14.097
332,8.289,13.773
333,8.326,15.094
334,8.277,14.825
335,8.241,15.031
336,8.192,15.472
337,8.684,15.4
338,8.49,15.409
339,8.647,15.004
340,8.581,14.968
341,8.617,14.959
342,8.338,15.364
343,8.435,15.076
344,8.568,15.139
345,8.757,15.013
346,8.647,14.825
347,8.702,15.274
348,8.775,15.265
349,8.647,15.894
350,8.92,16.307
351,8.92,16.262
352,9.254,16.352
353,9.303,16.011
354,9.278,16.28
355,9.412,16.316
356,9.23,16.891
357,9.406,16.711
358,9.454,16.622
359,9.649,16.514
360,9.545,16.514
361,9.454,16.586
362,9.4,16.424
363,9.479,16.622
364,9.709,16.523
365,9.764,16.622
366,9.891,16.532
367,10.0,16.289
368,9.864,16.038
369,9.872,15.957
370,9.888,15.993
371,9.84,15.705
372,9.711,15.714
373,9.623,15.624
374,9.383,15.454
375,9.351,15.346
376,9.343,15.642
377,9.222,15.409
378,9.27,15.507
379,9.327,15.22
380,9.174,15.121
381,9.278,13.926
382,8.982,14.959
383,8.974,14.42
384,8.34,14.798
385,8.765,15.031
386,8.372,15.732
387,8.701,15.364
388,8.813,15.337
389,9.142,14.726
390,8.934,14.879
391,8.918,14.429
392,8.533,14.753
393,8.549,14.555
394,8.493,14.87
395,8.621,14.6
396,8.493,14.6
397,8.701,14.465
398,8.613,14.6
399,8.573,14.375
400,8.557,14.375
401,8.637,14.061
402,8.501,13.944
403,8.38,14.16
404,8.14,13.89
405,8.108,13.477
406,8.308,13.531
407,8.14,13.54
408,7.859,13.531
409,8.003,13.54
410,7.979,13.297
411,8.019,13.522
412,8.003,13.926
413,7.859,13.522
414,8.035,13.558
415,8.22,13.531
416,7.779,13.684
417,7.843,13.423
418,7.779,13.36
